1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
0 0 0 60 0 0 0 0 18 0 0 0 82 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 62 0 0 0 0 0 0 0 38 0 0 0 0 45 
0 0 0 0 0 0 69 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
60 0 0 0 24 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 92 0 0 0 0 0 0 
0 0 0 24 0 0 0 0 51 0 0 0 0 0 0 0 0 0 0 0 20 76 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 67 0 0 0 0 
0 0 69 0 0 0 0 15 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 41 0 0 0 49 
0 0 20 0 0 0 15 0 0 0 0 0 0 54 0 0 0 54 46 0 0 94 0 0 0 0 0 0 0 0 
18 0 0 0 51 12 0 0 0 43 0 0 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 46 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0 0 37 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 0 0 0 0 0 0 0 0 
82 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 0 0 0 51 0 0 
0 0 0 0 0 0 17 54 0 0 0 0 0 0 0 0 0 76 0 0 0 0 0 0 0 0 43 0 0 90 
0 0 0 19 0 0 0 0 0 0 0 0 0 0 0 0 0 69 0 3 0 0 0 0 0 0 0 0 0 77 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 76 0 0 30 0 0 0 0 0 
0 62 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 54 0 0 0 0 0 76 69 0 0 0 38 0 0 0 0 0 0 0 0 0 0 19 
0 0 0 0 0 0 0 46 0 0 0 0 0 0 0 0 0 38 0 0 0 93 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 11 0 0 0 0 3 0 0 0 0 0 0 0 64 0 0 0 0 0 0 0 
0 0 0 0 20 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 58 0 0 0 85 0 0 0 0 
0 0 0 0 76 0 0 94 0 0 0 0 0 0 0 76 0 0 93 0 58 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 64 0 0 0 0 0 0 0 0 0 4 
0 0 0 92 0 0 0 0 0 0 40 0 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 92 78 0 
0 38 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 67 41 0 0 46 0 0 0 0 0 0 0 0 0 0 85 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 37 0 0 43 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 51 0 0 0 0 0 0 0 0 0 0 92 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 78 0 0 0 0 0 86 
0 45 0 0 0 0 49 0 0 0 0 0 0 90 77 0 0 19 0 0 0 0 4 0 0 0 0 0 86 0 
