1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
0 0 0 0 0 96 0 0 87 63 82 68 0 38 88 57 57 0 3 0 0 50 0 0 23 0 0 0 0 46 0 0 0 61 4 14 50 44 0 92 73 0 40 0 13 74 57 0 67 61
0 0 89 0 0 0 42 0 46 0 64 0 0 81 64 0 56 0 0 0 0 0 50 7 0 13 66 0 43 51 68 0 0 0 58 0 25 43 0 3 0 0 22 0 41 0 43 14 0 0
0 89 0 50 0 0 75 0 80 0 83 0 0 0 8 41 0 0 4 0 95 30 19 0 69 0 0 78 0 0 13 31 42 0 90 0 0 54 0 87 30 80 0 27 0 73 42 14 0 0
0 0 50 0 0 11 48 4 29 0 31 52 0 70 0 39 13 50 11 16 0 0 97 0 0 78 0 78 33 0 35 0 0 0 0 0 0 70 0 57 84 0 23 0 0 15 0 0 66 0
0 0 0 0 0 0 0 30 87 0 0 2 93 0 1 2 94 4 66 0 13 0 0 83 0 95 0 32 0 83 25 0 0 65 28 41 0 88 47 0 0 0 0 0 23 0 0 0 0 80
96 0 0 11 0 0 41 0 0 0 0 0 0 34 20 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 3 2 22 76 0 0 0 74 0 43 0 84 0 0 0 82 0 0 0 0
0 42 75 48 0 41 0 93 0 75 0 0 0 0 14 0 0 0 75 28 0 52 0 0 25 0 19 78 67 87 96 0 0 86 0 0 0 0 84 0 0 0 0 86 0 0 0 0 23 0
0 0 0 4 30 0 93 0 0 0 60 8 0 40 0 0 32 14 60 0 37 38 15 0 60 0 0 0 0 25 0 0 47 0 12 8 0 0 11 22 0 0 0 72 0 9 0 0 0 0
87 46 80 29 87 0 0 0 0 92 93 0 0 0 0 0 58 42 54 0 0 0 0 0 32 93 0 0 31 0 48 0 29 0 0 0 0 0 45 0 0 4 56 0 0 0 0 78 0 0
63 0 0 0 0 0 75 0 92 0 0 0 0 10 0 0 0 0 0 86 0 1 0 0 0 52 0 12 0 0 0 0 0 0 22 0 0 35 0 0 0 42 0 33 95 71 0 47 6 0
82 64 83 31 0 0 0 60 93 0 0 0 0 0 0 9 0 0 48 0 70 0 88 51 0 0 0 0 86 0 0 0 0 0 40 0 0 71 0 0 13 89 0 71 0 80 8 16 0 0
68 0 0 52 2 0 0 8 0 0 0 0 0 0 0 0 0 0 0 33 0 0 99 56 0 0 0 11 3 51 97 0 80 0 24 88 80 0 0 0 51 0 0 0 2 31 21 4 0 0
0 0 0 0 93 0 0 0 0 0 0 0 0 76 0 0 0 1 95 0 0 0 33 0 0 0 10 0 0 78 0 50 0 0 0 26 75 0 0 0 0 0 0 0 0 78 0 0 0 48
38 81 0 70 0 34 0 40 0 10 0 0 76 0 9 10 70 17 96 0 0 86 5 0 44 0 0 0 68 30 42 0 42 0 0 0 0 0 0 0 0 0 86 37 0 0 0 53 0 34
88 64 8 0 1 20 14 0 0 0 0 0 0 9 0 94 0 0 76 58 0 0 0 72 28 89 0 0 0 0 0 0 0 0 0 0 47 74 38 36 84 4 0 12 0 43 55 39 0 0
57 0 41 39 2 0 0 0 0 0 9 0 0 10 94 0 0 0 0 85 45 0 56 99 0 13 0 28 0 74 6 0 61 75 0 81 0 0 0 11 58 16 0 0 8 0 0 0 92 40
57 56 0 13 94 0 0 32 58 0 0 0 0 70 0 0 0 79 54 0 22 0 59 47 0 45 26 0 0 0 0 67 0 68 39 0 0 0 12 78 0 54 82 0 0 0 0 0 0 1
0 0 0 50 4 0 0 14 42 0 0 0 1 17 0 0 79 0 0 35 34 0 66 0 3 44 0 94 97 97 76 0 0 0 98 0 0 0 65 0 39 0 0 0 51 36 27 0 9 0
