1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100
0 4 39 11 7 76 42 19 39 37 76 39 91 76 50 12 87 67 58 2 95 29 85 29 75 35 70 33 5 98 7 2 50 11 60 3 80 1 70 66 4 34 9 69 37 40 6 48 9 41 77 44 33 3 87 90 69 55 92 88 16 86 23 88 64 26 45 75 61 36 73 99 64 48 25 20 63 77 14 40 88 71 12 14 33 68 60 8 69 91 7 12 37 55 64 48 88 26 70 76
4 0 9 63 64 29 53 64 96 85 71 27 9 51 48 51 90 86 96 36 36 48 50 13 17 27 62 92 10 20 7 25 24 24 69 60 11 45 90 15 82 51 40 17 87 37 17 99 52 24 73 35 6 12 86 75 85 92 79 49 94 81 91 71 69 89 65 26 29 68 78 34 63 18 44 76 99 78 80 86 57 30 7 49 89 74 64 32 20 90 93 46 3 48 27 2 21 71 88 17
39 9 0 65 5 7 35 57 36 55 27 67 86 97 17 73 2 79 21 79 10 98 85 79 50 6 54 99 18 66 89 61 22 90 14 11 33 70 15 59 35 20 65 90 54 90 13 31 45 32 89 7 79 93 52 64 44 81 4 19 14 83 83 50 4 80 44 89 21 77 66 94 7 91 18 6 16 10 55 82 70 31 10 50 39 14 50 94 14 68 96 40 32 32 89 54 66 68 2 59
11 63 65 0 20 47 99 7 23 16 9 5 37 42 67 73 77 57 35 99 35 48 75 54 19 38 49 87 82 92 51 2 47 27 97 27 98 75 33 89 70 43 75 62 50 94 18 95 1 63 46 7 49 69 64 76 37 95 9 77 74 29 54 34 79 50 15 68 47 53 30 29 66 56 84 16 23 50 9 89 49 57 69 30 66 44 71 85 57 45 24 14 23 26 14 47 87 38 95 21
7 64 5 20 0 10 80 52 36 65 42 54 82 28 35 8 36 97 80 57 77 90 78 96 68 74 84 98 49 51 76 87 58 39 3 76 63 92 7 1 20 5 29 97 11 19 56 66 95 89 22 66 72 41 95 57 91 51 23 43 85 55 65 76 55 6 25 36 13 93 15 84 92 38 44 58 47 47 66 20 12 33 14 95 29 93 20 48 78 93 1 92 22 26 90 68 15 37 50 95
76 29 7 47 10 0 90 33 9 73 45 82 35 37 27 12 33 43 24 69 79 88 93 6 30 59 55 19 14 3 88 85 65 41 94 71 35 64 92 77 21 69 5 89 67 53 97 83 36 67 71 46 85 24 54 13 67 59 22 26 48 75 23 73 71 60 68 76 16 47 4 80 67 13 65 8 68 9 63 53 14 81 4 51 39 85 72 42 29 39 57 12 76 46 41 38 99 23 10 89
42 53 35 99 80 90 0 70 59 68 11 94 94 53 34 11 16 12 17 77 43 70 26 82 81 19 46 57 94 77 23 70 70 99 97 39 63 50 38 99 24 75 88 76 3 50 42 2 93 41 63 27 27 27 33 69 92 25 81 89 4 2 92 3 20 45 32 24 54 87 18 20 62 9 99 92 46 59 64 7 43 96 60 98 38 28 26 95 24 50 79 87 40 37 97 76 17 28 1 51
19 64 57 7 52 33 70 0 47 94 68 86 23 18 92 68 10 31 20 71 65 3 5 39 71 85 18 29 69 78 30 37 8 93 46 74 82 33 44 68 46 78 70 26 13 96 10 41 85 10 86 76 20 84 99 84 25 34 61 74 71 70 81 56 29 93 87 15 5 13 4 23 42 70 12 61 68 53 62 87 35 39 64 90 10 85 53 27 91 35 25 28 25 56 48 13 32 76 64 42
39 96 36 23 36 9 59 47 0 85 6 97 14 35 87 41 63 65 79 77 4 70 58 90 36 52 80 75 75 23 93 71 92 47 73 51 91 86 63 89 47 61 51 94 71 17 19 29 5 11 25 66 89 82 1 23 67 25 24 54 34 6 37 98 87 75 8 15 26 50 33 82 59 74 7 82 70 99 71 17 8 82 67 60 43 55 16 68 56 92 32 46 40 89 63 40 38 75 88 64
37 85 55 16 65 73 68 94 85 0 29 95 4 25 66 15 42 2 83 94 29 98 28 29 95 25 82 46 18 80 79 4 90 3 94 52 45 87 46 30 50 9 5 60 71 44 9 20 79 66 70 28 88 91 20 18 18 36 75 81 88 29 23 61 18 84 80 19 11 25 56 33 40 85 58 44 9 68 9 4 70 91 33 7 5 74 42 3 49 25 19 95 16 90 59 39 42 83 3 14
76 71 27 9 42 45 11 68 6 29 0 73 98 11 86 88 32 4 22 51 58 87 22 18 99 89 39 77 76 25 38 14 54 95 17 11 37 9 44 95 28 85 86 64 61 91 78 95 65 19 77 15 93 65 18 38 13 39 53 10 37 43 60 46 67 21 29 89 11 12 92 45 10 62 40 79 88 6 28 35 53 87 46 80 49 80 26 90 37 27 91 12 71 37 47 64 48 64 40 5
39 27 67 5 54 82 94 86 97 95 73 0 43 49 48 4 36 58 71 67 74 22 64 91 28 55 4 46 73 66 51 87 84 74 48 56 81 60 46 77 88 11 36 76 37 43 4 92 41 84 85 12 17 23 84 30 25 58 3 86 77 57 37 50 2 38 54 25 66 85 54 35 40 84 87 26 84 66 47 80 48 65 23 79 12 92 2 42 34 55 44 27 1 11 28 6 60 53 31 33
91 9 86 37 82 35 94 23 14 4 98 43 0 59 98 32 52 70 95 90 7 80 46 61 51 56 39 30 23 96 41 92 65 74 90 24 66 18 26 21 97 14 19 92 71 55 43 7 74 16 29 76 7 40 14 41 42 32 92 54 5 44 24 99 65 7 80 63 69 16 27 15 40 91 48 83 75 12 53 87 83 99 75 28 61 90 13 66 40 28 73 43 13 1 10 30 82 80 18 61
76 51 97 42 28 37 53 18 35 25 11 49 59 0 68 37 28 66 36 94 66 14 50 43 45 55 71 40 74 65 35 77 92 48 98 92 29 60 92 19 85 44 69 26 66 3 9 90 24 17 82 35 89 28 26 50 96 9 80 2 44 33 17 10 9 9 2 23 37 26 8 70 13 91 30 54 92 4 67 5 59 39 32 19 3 65 7 78 24 26 63 96 61 96 39 62 67 12 85 49
50 48 17 67 35 27 34 92 87 66 86 48 98 68 0 76 38 17 46 68 86 20 87 10 97 22 40 15 35 98 75 71 49 50 7 96 64 32 63 66 48 24 32 18 18 12 80 85 31 39 29 4 76 23 78 25 25 7 33 96 76 94 53 81 10 49 35 5 48 63 25 50 57 68 63 38 67 61 27 20 29 28 88 59 74 59 26 21 3 75 56 92 71 12 83 25 9 30 18 40
12 51 73 73 8 12 11 68 41 15 88 4 32 37 76 0 13 50 33 44 48 41 73 67 95 75 75 27 89 34 37 45 88 26 60 12 79 4 44 95 81 40 70 32 43 32 61 45 90 7 20 74 68 59 79 1 76 85 13 83 80 20 78 75 80 6 45 85 15 9 74 52 50 43 13 62 42 40 56 93 6 73 34 35 47 9 25 73 34 26 92 34 55 12 74 17 87 84 53 22
87 90 2 77 36 33 16 10 63 42 32 36 52 28 38 13 0 29 38 51 99 30 26 8 88 38 36 25 97 90 17 95 43 28 97 37 85 69 51 48 26 71 76 45 63 6 26 31 48 12 4 52 49 16 20 77 1 29 81 72 60 2 45 70 35 77 88 82 10 33 32 86 51 15 19 55 96 32 89 45 25 31 8 80 48 9 88 88 91 8 14 3 64 54 95 38 7 56 17 42
67 86 79 57 97 43 12 31 65 2 4 58 70 66 17 50 29 0 94 13 18 42 1 44 91 43 73 46 29 29 29 6 71 72 37 37 55 48 69 6 93 27 21 93 91 24 85 97 5 92 22 10 38 59 36 68 41 95 33 18 36 77 29 10 48 80 33 97 83 77 49 67 59 44 52 44 74 39 74 20 99 15 81 31 88 63 60 49 32 46 33 98 80 66 54 40 96 75 39 8
58 96 21 35 80 24 17 20 79 83 22 71 95 36 46 33 38 94 0 92 34 83 36 49 85 38 41 4 29 33 46 73 77 53 22 57 98 38 17 32 10 68 55 25 14 62 28 94 41 65 63 50 15 44 28 19 79 80 50 93 58 73 88 31 98 21 79 17 14 94 67 83 26 76 63 54 16 54 71 40 37 95 80 41 19 18 76 12 18 19 65 87 79 55 28 52 76 88 52 32
2 36 79 99 57 69 77 71 77 94 51 67 90 94 68 44 51 13 92 0 75 16 38 67 64 56 67 80 61 5 19 74 38 4 50 28 3 71 37 62 35 29 8 4 83 51 44 7 56 13 26 69 33 24 7 75 12 37 88 6 8 98 80 84 65 32 26 40 13 54 94 12 23 93 2 49 25 11 66 7 29 90 5 40 60 21 60 28 26 92 55 22 77 31 47 60 16 8 10 67
95 36 10 35 77 79 43 65 4 29 58 74 7 66 86 48 99 18 34 75 0 53 52 51 42 43 21 5 51 51 48 35 31 8 66 53 28 43 58 9 23 83 66 3 57 66 84 62 39 45 66 24 93 90 19 64 53 2 78 49 52 67 42 47 91 5 75 54 22 92 66 85 77 85 35 82 30 45 75 39 79 59 3 81 47 48 43 86 53 79 69 44 38 56 37 62 83 83 72 92
29 48 98 48 90 88 70 3 70 98 87 22 80 14 20 41 30 42 83 16 53 0 79 62 20 78 21 64 2 7 13 10 88 15 77 95 81 32 98 59 8 95 11 79 76 80 8 1 88 18 59 87 25 59 73 50 21 10 76 30 63 74 87 21 6 75 65 91 78 76 35 44 77 61 60 44 33 89 95 36 36 31 5 75 42 60 27 36 36 21 90 34 19 87 8 93 1 93 62 10
85 50 85 75 78 93 26 5 58 28 22 64 46 50 87 73 26 1 36 38 52 79 0 33 65 6 56 21 19 8 21 45 74 35 14 23 66 83 73 4 55 62 49 72 65 49 92 44 49 36 44 63 27 67 44 86 67 60 79 92 43 94 90 73 58 90 45 48 84 13 63 28 70 15 25 30 19 70 48 54 30 72 21 94 22 70 68 11 84 10 77 61 44 75 1 38 77 6 41 54
29 13 79 54 96 6 82 39 90 29 18 91 61 43 10 67 8 44 49 67 51 62 33 0 6 13 69 2 7 65 63 22 20 37 65 88 27 67 64 67 26 85 67 11 81 71 45 52 39 68 83 24 67 59 13 24 19 85 8 59 31 98 78 81 84 45 12 75 33 68 32 60 3 29 99 21 86 4 91 32 37 42 76 51 6 32 25 7 15 49 33 34 95 84 56 15 7 33 92 61
75 17 50 19 68 30 81 71 36 95 99 28 51 45 97 95 88 91 85 64 42 20 65 6 0 89 83 99 38 82 11 66 45 96 1 33 2 7 1 22 95 38 33 94 91 43 65 16 13 2 38 73 85 25 73 98 3 8 18 48 49 28 19 90 92 51 25 16 81 29 4 55 58 32 30 26 70 52 45 76 72 17 92 14 96 99 16 44 35 44 3 76 70 64 13 38 89 93 63 31
35 27 6 38 74 59 19 85 52 25 89 55 56 55 22 75 38 43 38 56 43 78 6 13 89 0 79 86 1 81 56 49 8 88 20 24 71 50 50 60 53 18 63 45 76 56 70 24 15 93 63 94 44 12 42 64 36 43 77 63 18 24 80 62 88 33 16 97 51 79 10 87 75 20 44 12 78 44 3 49 95 74 89 12 36 37 22 4 77 55 69 39 96 11 33 61 74 3 11 79
70 62 54 49 84 55 46 18 80 82 39 4 39 71 40 75 36 73 41 67 21 21 56 69 83 79 0 44 35 91 47 63 37 77 63 92 31 49 95 92 69 26 27 72 32 25 13 65 41 69 29 3 55 14 76 4 18 14 93 48 54 51 45 77 18 51 28 62 38 50 18 64 52 37 70 55 95 25 88 16 17 35 70 5 23 65 25 34 23 29 2 28 32 71 4 87 51 65 21 89
33 92 99 87 98 19 57 29 75 46 77 46 30 40 15 27 25 46 4 80 5 64 21 2 99 86 44 0 20 86 41 81 76 93 81 62 73 32 7 77 60 48 84 18 62 36 45 41 82 1 98 33 51 64 21 31 74 56 15 60 46 66 52 58 37 80 3 33 79 59 10 38 13 37 82 92 2 2 49 80 75 72 25 52 14 56 17 15 69 9 37 64 21 21 55 82 32 13 79 24
5 10 18 82 49 14 94 69 75 18 76 73 23 74 35 89 97 29 29 61 51 2 19 7 38 1 35 20 0 41 49 85 32 97 80 44 99 11 94 10 15 49 42 8 68 78 38 45 22 26 71 6 6 52 15 48 73 57 64 80 47 51 83 45 25 44 98 9 93 23 58 91 1 77 71 27 80 22 75 74 46 17 8 92 10 21 79 2 25 68 94 19 5 74 60 41 18 76 37 44
98 20 66 92 51 3 77 78 23 80 25 66 96 65 98 34 90 29 33 5 51 7 8 65 82 81 91 86 41 0 7 59 33 37 64 67 36 54 45 42 5 11 20 42 65 2 19 12 37 62 83 19 13 68 75 40 77 88 34 13 13 70 81 46 96 91 52 90 47 86 61 64 27 1 80 46 40 22 45 54 85 16 58 33 74 65 51 8 43 92 85 12 77 3 52 44 35 94 5 66
7 7 89 51 76 88 23 30 93 79 38 51 41 35 75 37 17 29 46 19 48 13 21 63 11 56 47 41 49 7 0 32 79 3 6 12 59 4 19 32 95 33 52 20 93 67 13 40 34 56 2 12 13 70 23 40 26 6 74 4 30 85 18 49 91 90 37 23 31 32 73 15 6 93 17 55 28 51 61 72 42 23 18 91 66 54 2 96 76 55 41 35 43 52 25 10 29 24 50 81
2 25 61 2 87 85 70 37 71 4 14 87 92 77 71 45 95 6 73 74 35 10 45 22 66 49 63 81 85 59 32 0 6 69 99 85 66 56 18 78 57 61 25 94 51 67 79 28 86 89 55 24 26 30 28 62 30 94 32 88 89 76 91 68 55 91 79 37 36 53 34 73 27 52 75 82 87 24 45 22 77 76 3 43 19 27 75 75 58 61 79 82 53 84 51 31 79 37 69 11
50 24 22 47 58 65 70 8 92 90 54 84 65 92 49 88 43 71 77 38 31 88 74 20 45 8 37 76 32 33 79 6 0 81 43 77 96 51 56 64 13 46 55 28 6 31 37 46 87 71 5 34 78 44 87 9 68 14 24 14 9 67 31 10 44 30 13 25 62 8 43 82 5 32 5 18 87 84 27 27 18 90 84 12 70 33 51 4 6 35 83 12 45 9 66 51 40 7 65 97
11 24 90 27 39 41 99 93 47 3 95 74 74 48 50 26 28 72 53 4 8 15 35 37 96 88 77 93 97 37 3 69 81 0 9 98 63 63 18 85 51 96 34 37 38 77 40 38 66 52 46 38 88 5 10 94 85 51 35 11 14 24 49 58 76 8 2 82 30 83 82 19 5 46 89 66 63 27 54 40 87 10 44 74 11 41 58 37 36 35 81 10 42 97 4 47 48 68 2 35
60 69 14 97 3 94 97 46 73 94 17 48 90 98 7 60 97 37 22 50 66 77 14 65 1 20 63 81 80 64 6 99 43 9 0 86 30 99 41 2 51 28 11 92 41 37 64 18 20 38 72 17 92 20 32 48 87 26 44 48 85 48 79 74 31 71 90 74 69 68 17 74 97 70 70 5 74 48 56 86 70 65 43 5 18 8 61 68 23 19 63 51 39 33 90 49 9 83 3 63
3 60 11 27 76 71 39 74 51 52 11 56 24 92 96 12 37 37 57 28 53 95 23 88 33 24 92 62 44 67 12 85 77 98 86 0 99 43 8 81 74 95 95 29 46 35 3 27 85 72 96 34 75 32 74 57 83 82 64 13 18 26 53 78 33 4 79 52 89 9 36 55 71 35 97 65 62 29 11 70 73 48 86 51 73 16 57 76 11 63 52 99 80 72 40 6 47 44 25 36
80 11 33 98 63 35 63 82 91 45 37 81 66 29 64 79 85 55 98 3 28 81 66 27 2 71 31 73 99 36 59 66 96 63 30 99 0 43 13 17 71 22 23 41 2 26 12 6 33 73 33 64 70 13 18 90 8 99 8 69 41 17 83 80 99 33 16 59 40 58 33 11 38 77 49 85 72 46 66 56 53 68 14 71 35 32 56 9 18 17 31 13 73 60 76 27 24 32 66 78
