1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
0 24 0 0 0 0 21 0 24 0 0 11 0 0 0
24 0 68 0 0 0 0 0 0 11 0 0 36 0 0
0 68 0 1 0 83 98 0 0 66 74 6 26 47 0
0 0 1 0 0 0 50 0 0 62 97 0 0 0 0
0 0 0 0 0 73 0 0 0 0 0 0 0 52 0
0 0 83 0 73 0 0 0 0 0 0 0 0 0 73
21 0 98 50 0 0 0 0 0 0 0 0 99 0 42
0 0 0 0 0 0 0 0 0 0 70 33 0 18 0
24 0 0 0 0 0 0 0 0 79 32 0 0 1 17
0 11 66 62 0 0 0 0 79 0 0 0 0 7 0
0 0 74 97 0 0 0 70 32 0 0 0 0 0 0
11 0 6 0 0 0 0 33 0 0 0 0 0 0 0
0 36 26 0 0 0 99 0 0 0 0 0 0 0 0
0 0 47 0 52 0 0 18 1 7 0 0 0 0 0
0 0 0 0 0 73 42 0 17 0 0 0 0 0 0
